Time,Mx_f,My_f,Mz_f,B_z,a1,a2,b1,b2,f1,f2
0.008,0.015844516647491175,-0.052941358896012376,-0.9880117835609626,8,764,421,231,702,-3,3
0.007,-0.001181683523499794,0.0927940302362365,0.9866336846866285,4,290,621,249,647,-1,3
0.003,-0.0054336381676854985,-0.7056088185373643,-0.7029141179834304,-1,729,581,230,564,-2,-2
0.004,0.03999816590018812,0.034175139857032785,-0.9933651438355641,17,497,280,282,468,1,-3
0.008,-0.0027494696832258848,-0.9890329410671148,0.010723060863700926,10,678,698,286,810,3,-3
0.014,-0.003024834899443322,-0.9440007698493625,0.26748704803108225,-15,358,896,177,250,0,2
0.003,0.03513096144122029,0.45615533027109056,-0.8847916820746647,16,528,361,164,667,-3,3
0.01,-0.00586100180958482,0.9269851594485322,-0.3394937295766164,-8,994,455,713,586,-2,2
0.014,-9.597360218109574e-05,-0.5172398774485758,-0.834465260269582,-6,454,708,842,434,3,-3
0.014,-0.0009113075861948164,0.23660854094694028,0.9535264297490454,15,226,240,242,984,-3,1
0.013,-0.0018013508284074604,0.21544665264550955,0.9593787241223153,-10,737,730,433,398,2,0
0.001,-0.0029922977641883525,0.7996336634296456,0.5997853449897755,-9,371,557,951,166,-2,-2
0.006,-0.01100997016833052,0.7385413711585788,0.6634402685862564,10,233,954,999,471,3,2
0.014,0.012920780473357315,0.29419662942055474,0.936880458960131,9,649,719,760,973,-3,-2
0.007,-0.04039117860514188,0.585294098658159,-0.7986328465280237,-8,256,103,196,777,3,-1
0.011,0.03331004409487491,0.6282558395383109,-0.7588665926953054,14,322,472,913,485,-1,1
0.004,0.01411434837008301,0.5778531592521593,-0.8096658953324017,4,216,415,938,248,3,1
0.013,-0.0027993618307519197,-0.31229267861735244,0.931858082623047,-16,929,496,988,778,0,-1
0.005,-0.004160424074625415,-0.9889277253315361,-0.08806948919724793,-4,216,709,253,176,1,-1
0.002,-0.016154922185911205,0.893963302148882,-0.44259959845251307,-12,159,857,914,733,-1,-2
0.009,-0.0015558723160725753,0.8605063545466171,-0.4865306661083006,8,519,411,248,704,3,2
0.009,0.021270143970647123,0.8953575974516635,0.42014070288878813,11,420,404,426,677,-2,-1
0.007,-0.002891811118349755,0.20912471156532986,0.9688308518570838,3,576,352,272,908,-3,3
0.013,-0.007645398373641386,-0.9401969839437377,-0.28630738077606604,-4,878,912,986,222,0,-3
0.012,-0.010976145011283656,-0.6451950035205662,0.7412388386002927,5,108,356,784,795,-3,2
0.011,0.0037061856792412347,-0.8770893555103643,0.44857990169049883,2,997,617,164,632,3,0
0.013,0.04131464354167456,-0.08860385700220205,-0.9782084574161571,12,371,361,805,852,-1,3
0.008,-0.004440100851438693,0.3050865744205204,0.9415964192739232,-11,989,621,388,657,2,3
0.014,-0.002823390640943191,0.9663547075779659,0.18084187692502268,-8,334,214,420,428,-3,2
0.015,-0.0030106246220455487,0.6605135001585926,0.7254240851133111,5,694,612,658,597,-1,2
0.009,0.001658869787949881,-0.5544693367653236,0.8174485594895036,13,891,439,196,876,0,0
0.012,-0.012340001153345838,-0.4448725013196638,0.8774068847274255,7,249,759,807,833,-3,0
0.015,-0.01280849324045688,-0.6303908639388709,-0.7507482384543775,-5,569,106,758,253,0,0
0.002,-0.011826740132907184,0.6397695545674554,0.7678251077277517,-15,102,246,938,100,1,1
0.014,0.0708981587043378,-0.5656225856812849,-0.7992600284655359,19,370,347,277,818,0,2
0.002,-0.015251488705373769,-0.007705621122552936,-0.9972316027425026,-13,822,753,190,496,0,3
0.015,0.00041253210650594356,0.018994936350121658,0.9803495214320738,12,359,480,505,873,1,-2
0.004,0.0012872433625027429,0.2757266811604546,0.9560119751956981,13,708,933,926,429,-3,3
0.005,-0.0050111699722775165,0.9936565594744398,0.01979460136506457,-4,829,738,450,905,-2,2
0.015,0.0353585880768661,0.6499709500824858,0.73439323847544,16,182,704,316,647,-3,-3
0.003,0.04157421167184486,0.47685445008647775,-0.8735323928705664,20,756,125,516,606,-1,-1
0.006,-0.017409229086688027,0.6492790075977057,-0.7500688690746576,-13,916,536,244,487,0,2
0.005,-0.004547839108281441,-0.9638930866002454,0.23730903396003666,-3,666,325,134,839,-3,0
0.012,-0.02440576114679828,-0.37980952648776045,-0.9078189208600488,-18,674,668,470,686,-1,1
0.012,-0.002824685888149881,-0.2710500906196973,0.9459577896972455,16,157,867,240,433,1,-3
0.005,-0.0011135284856402987,0.15017710489522257,0.9821964885235367,-6,556,731,741,191,3,-2
0.008,-0.028359577471433233,0.9589991958398848,-0.24412669775418347,-15,408,605,791,350,2,0
0.014,-0.04450913153284968,-0.9772421867045282,-0.07410668932458139,0,316,464,645,374,-3,-1
0.008,0.007984294141627274,0.5410575356414351,-0.8285310135192213,6,591,515,639,571,3,-2
0.004,-0.0016125269619341857,-0.368174430994,0.923780965016845,-5,940,536,197,940,-2,-1
0.005,0.049786788855395635,0.6863992142169225,-0.7167334852497389,14,299,177,516,822,0,-2
0.01,0.08821017421284674,-0.9333330183197502,0.3034695268234699,-13,162,340,923,732,3,3
0.006,0.0093653942508331,0.4995806573807165,-0.8571626211858165,6,492,991,197,699,-1,-2
0.008,0.015675274182329363,0.963108662195717,-0.22865503889864736,13,710,301,137,482,0,0
0.01,0.005588818577820934,-0.9009214296415907,-0.4025254551547339,18,836,850,811,425,-3,2
0.005,0.005184377355054051,0.9286820327142233,0.35434425922743923,14,870,628,621,480,2,-2
0.006,-0.004547683457074786,-0.738973678049238,0.6606890207805033,13,282,625,877,801,-2,0
0.013,-0.002652770281901187,-0.45576478089323197,-0.8710384870216046,2,816,913,348,279,-1,-3
0.005,-0.005528963798731009,0.6965183569575819,0.7091473222328954,-7,777,635,420,466,2,2
0.008,0.0017790868617931256,-0.8761116707407045,-0.4589215771266645,-8,362,167,932,642,0,2
0.003,0.008439237305468424,-0.22636827678995303,-0.9699774772978835,5,529,595,634,681,3,-3
0.006,-0.0398972980841557,-0.942195920975821,-0.30654809077337386,-16,208,525,702,259,-2,1
0.013,-0.005033839690481545,-0.9141463111553538,0.35998060135482846,-11,986,372,960,554,0,0
0.002,0.004155762243794314,0.8047841462282339,0.5921216392139997,9,331,138,344,888,-1,3
0.005,-0.015979766036788457,0.42342667781485077,-0.8985640792266788,-16,816,981,488,580,-3,0
0.002,0.002328323261064194,0.3274508739875024,-0.9420838881255229,2,816,588,280,225,-3,0
0.014,-0.010554395333853061,0.2241570532493759,0.9561323906161713,-6,120,794,477,540,3,3
0.01,0.014381949804971827,0.7525796176561722,0.6401171586975271,-1,250,465,230,525,-2,-2
0.007,-0.005939217340487632,0.8841835819374995,0.44893342198905756,-5,413,642,270,896,-1,1
0.011,-0.003815821932727497,0.6825942942259366,0.711929308470548,-10,561,651,180,799,-3,1
0.008,-0.010437922314336429,-0.8788470973157476,-0.45422262994091733,-8,987,328,152,191,2,-3
0.014,-0.00042871168194153094,-0.9277045513427358,0.31942829233166636,8,478,780,713,995,-2,1
0.006,0.0058993634640764426,-0.6270612271735772,-0.7687234076273234,4,158,480,425,174,-2,2
0.004,0.0024327773135090647,-0.624808051085372,0.7733899513416049,4,970,431,355,114,3,-1
0.004,-3.7654126378468795e-05,0.024739907543959383,0.9944766860238132,10,722,855,200,201,0,3
0.008,-0.010735464727227377,0.990132701012762,-0.0001154817224342658,-3,101,881,147,365,0,3
0.007,-0.008654392358457368,-0.8470826672889578,-0.5136715331225786,-16,657,836,535,902,3,0
0.013,0.045053629303501985,-0.8530645759946608,-0.48587311663249233,15,569,237,698,144,2,-2
0.003,0.008533726118171015,-0.8585538792656862,-0.5046031665094843,7,404,990,225,383,0,1
0.014,0.0318087250881193,-0.5447139835221101,-0.8161648943825092,18,541,623,224,735,-1,1
0.014,0.009435201206997526,0.8929558960681421,0.4093799016913003,-2,695,733,435,604,0,-2
0.011,-0.00491839941856608,-0.5782853863309192,-0.798122447686437,-6,422,492,940,562,-1,3
0.006,-0.021859907433234897,-0.45866174661043446,-0.8794951001432236,-18,900,751,738,699,2,-3
0.014,0.01951562604859438,-0.8375420972814034,-0.5116450196610951,4,670,974,689,903,3,0
0.007,-0.0004991802937903548,0.8175327463738189,-0.5601392620009329,2,563,645,207,421,2,1
0.007,-0.0008211724831225984,-0.2631819799666171,0.9548494290300779,19,418,441,731,730,1,-2
0.007,0.043964524545154586,-0.9885293103671761,0.027737999575359957,20,486,191,707,428,3,-2
0.01,0.002250036845831,0.9379795360557589,0.30889494728499955,15,628,754,488,669,3,-1
0.007,0.016839658079420904,-0.7214351506526976,-0.678883221740482,14,885,578,726,206,0,1
0.001,-0.005164249821735996,0.822929255335725,0.5673308849001936,-14,564,404,818,352,-3,-1
0.015,-0.018614907467132912,0.8366120814200094,0.5122098889115112,-4,907,418,584,116,3,1
0.003,-0.011967549952004452,-0.3243896860161105,-0.9416973128989425,-15,508,650,988,927,3,3
0.014,0.020399096257155466,-0.9544084876825067,0.22526566199857612,8,139,663,886,164,1,-1
0.015,0.02568106458152516,-0.7740978642123643,-0.6010003847106399,14,340,768,162,852,3,0
0.003,0.007152829820318594,-0.2525243861466115,-0.9635093538524953,6,677,456,188,364,-2,-3
0.004,-0.003280641096785835,0.7673225712575682,0.6337736746596183,4,808,983,466,851,0,3
0.003,0.0015310988395430076,-0.5659580540225905,-0.8196263638337113,5,329,920,860,471,-1,-3
0.001,-0.0003986954707009425,0.5673769859624973,0.8232243514881461,2,253,351,643,292,2,3
0.01,-0.0044468262933805135,-0.8947531946377041,0.41480246848875635,-13,264,879,192,137,2,-1
0.015,0.01399114483431673,0.4576515868217908,0.8677739864365388,-9,623,247,979,771,-2,0
0.014,-0.024028240594471985,-0.6862655155840229,0.7008561633292647,-13,492,799,156,929,0,-3
0.011,-0.003756981452853178,-0.8580532039604614,-0.48449827744812635,-11,537,416,239,302,1,3
0.015,0.04946486096011484,0.5574004644942899,-0.8052095574920853,16,130,458,464,185,-1,2
0.002,0.016322863542637577,-0.11911735373613228,-0.9901086138057579,13,905,726,529,523,3,-2
0.01,0.011033475772982429,-0.4134694361924064,-0.8961059048320034,20,813,801,958,609,-2,-3
0.011,0.004121816251189811,0.9044096931377352,0.39352522133110207,0,377,871,598,653,-2,1
0.008,-0.016965740230665768,0.9885980082115979,0.05427284398744159,-13,595,380,629,303,1,0
0.006,-0.01786492153517306,0.2927539585505156,-0.947806612023454,-14,867,654,231,666,3,-1
0.011,-0.013122130932953068,0.09667783528914328,-0.9808174788114534,-5,655,193,783,125,-1,-2
0.002,-0.012881783627123647,0.4943275737249664,-0.8661745971871446,-9,388,924,258,532,3,-2
0.013,0.0003075460976008842,-0.0314662787302719,0.9825317621966453,-20,170,794,506,207,1,1
0.009,-0.02354403757436161,-0.9822741800590136,0.10061703396841978,-20,623,610,349,417,-1,-2
0.01,0.001999407497832082,0.1412945752998125,0.9769401470146223,5,442,829,547,680,-2,-1
0.015,0.01520582969139346,-0.23069583082247985,-0.9528613997664733,16,875,607,271,587,0,-3
0.015,-0.019519856519466063,0.7051836971729101,0.6818358291749136,-18,559,751,973,978,1,1
0.014,0.0035356454259400467,-0.3195242142559925,0.9280076498333063,8,324,999,895,282,2,-3
0.011,-0.01805775804613867,0.9839941762113228,-0.062072748592703675,-15,749,542,134,446,-1,2
0.009,0.03704476733996754,-0.3384038127405249,-0.9277732033136113,20,521,565,884,401,0,1
0.003,-0.02153608494601235,-0.043041863672292346,-0.9949074996677212,-8,390,672,844,889,-2,-2
0.006,-0.006509629343756314,0.8516674056828153,-0.5092419765044208,-2,462,937,504,695,3,0
0.003,0.006372797812699615,-0.6864459398309692,-0.7216435846945949,8,705,596,891,240,-1,-3
0.012,0.01206983830421516,-0.9263050424523065,0.33035215527452766,0,113,832,364,119,2,2
0.01,-0.006353146145982244,0.7348370762171388,-0.6589649418912172,-6,533,954,341,954,-3,1
0.009,-0.008520169570107535,-0.09330896825354609,-0.983807646712302,-7,938,818,156,197,0,-3
0.014,-0.0021830043697618593,-0.9750844854771743,-0.1117322271013651,7,922,753,395,288,-2,0
0.013,0.004726552015369759,-0.7179824618464764,0.6706752542840237,-4,502,885,408,251,2,0
0.015,-0.006028194804029573,-0.17225920790310909,-0.9652422369419926,-9,105,535,836,531,1,3
0.002,-0.019794456819596212,0.9605505298149025,-0.2694946698848193,-16,494,429,576,983,-3,-2
0.008,-0.017783917155235033,0.7609105284208809,0.6338144251598246,-10,731,164,109,651,2,3
0.007,0.011279982071644035,0.9773626503544933,0.1665576972925803,18,313,785,715,580,3,-3
0.003,-0.029215498172167603,0.3355864039433419,-0.9373717643748568,-14,208,725,122,174,0,-1
0.013,-0.0706995976491302,-0.9773178466996405,-0.055108664459626124,-12,100,258,305,522,-1,-1
0.008,-0.01380089461851361,-0.7617578551380744,-0.6312879267225463,-16,434,854,201,453,1,2
0.003,-0.0033398207204958334,-0.9327112472094082,0.34819471486920583,-17,713,977,217,950,-1,2
0.01,-0.002509541363533343,0.8009963165895744,-0.5769906059500033,1,714,134,755,156,1,-1
0.011,0.029074667986692632,0.8958693077486244,0.4116009248972102,15,262,984,794,557,-3,-1
0.007,-0.016657718582714334,-0.9071752278369889,0.3953744208304988,-9,145,587,319,286,-3,0
0.01,-0.024263412311954523,-0.9105884215135958,-0.379081341915136,14,793,267,745,941,-2,-3
0.008,-0.020739182087135204,0.9483087093318974,-0.28336829252978124,8,778,240,683,964,3,3
0.014,0.049689324181957636,0.19284484480168346,-0.9613639761116339,17,227,432,837,659,-3,2
0.007,0.001121592039390691,-0.9495468061088733,0.2814022386955768,15,981,631,108,676,1,-2
0.003,0.0014314774471489654,-0.7443765573508861,0.6611889404949907,-2,991,822,352,998,1,1
0.014,-0.044456524298500624,-0.9558046062236139,0.21566827116459608,-20,649,152,709,987,-2,0
0.004,0.02971583049654196,-0.8373720128442407,-0.5357803782389122,14,470,566,292,453,2,3
0.006,-0.002552821424731798,-0.265580462059108,0.9555909897755418,7,770,232,156,862,0,-2
0.002,-0.004704293501435287,0.9331820107202133,-0.35305574022401787,-4,275,692,270,915,0,-2
0.003,-0.012404922393559533,-0.6885118983151851,-0.7195928097532065,-4,341,961,254,831,-1,-3
0.015,0.0018720325749237699,-0.8404489720626106,0.5028947707947499,-13,200,569,192,312,3,0
0.003,0.03532768385900507,0.8838057047615512,-0.45890074578626205,17,130,554,671,289,3,-3
0.011,0.031102324322186792,0.9134156639681503,-0.37031466540112745,20,536,213,871,404,1,-1
0.015,0.04069288179361543,-0.9151069954239924,0.348306080660967,18,928,667,914,524,3,2
0.013,0.057864487114524035,0.5177262914218914,-0.8337435926248894,17,479,203,710,697,-1,-2
0.012,-0.007558019388543676,0.32934014276533125,-0.9276049101343409,-5,518,239,898,567,-3,0
0.015,0.016872151843433072,0.7976791858882912,0.5714942678017021,-19,196,705,384,281,-3,-3
0.002,0.024933272547317194,0.44303181504001676,-0.8932357470237079,18,805,536,574,754,-2,0
0.003,0.024159428076411225,0.7835326939561574,-0.6148730533941595,11,473,273,937,176,-2,2
0.004,-0.007006240561564646,-0.991968599425799,0.06625234580115241,-9,942,253,100,103,2,-2
0.001,-0.006232876849354923,0.9202366204972956,0.3897523741431561,-9,204,967,734,776,3,3
0.009,-0.029198341411469094,0.8770127335575514,-0.4552301750543497,-15,458,468,149,401,3,1
0.003,-0.02504529459523718,0.1680034666497976,-0.9814696940810473,-14,270,721,961,570,2,0
0.001,0.007055975887957698,0.8096754261853014,0.5861016509850396,13,295,650,608,822,-3,-2
0.001,-0.0005292476971839583,0.9965734197438548,0.07151706985426888,-1,868,632,355,994,-1,0
0.003,0.02807206984307319,-0.29899353805314194,-0.949727091381027,20,232,917,890,394,-2,-2
0.01,0.010315498560834902,0.8289925688468913,0.5376064878653652,4,618,110,237,270,-2,-1
0.01,0.010692761505435185,0.4500060452222475,0.8788173743372051,-8,612,692,345,772,-3,-3
0.008,5.616642704375351e-05,0.03304070893443972,0.98903081835289,11,771,804,775,607,-2,2
0.015,0.015104271152680695,0.4535509873931613,-0.8691778444862344,4,887,547,786,900,-1,-2
0.014,0.009470082861368353,-0.20392311956787115,-0.9603402681552773,2,705,432,928,581,1,1
0.015,0.012759688446533506,-0.3296584459370391,-0.9233387190394092,15,514,975,253,767,0,-2
0.015,0.006068395648708634,-0.35244312039033,0.914351475690185,18,532,281,383,702,0,1
0.005,-0.0011197527897482838,0.8929750978833209,0.43665933031544557,-1,628,852,502,245,2,-3
0.015,-0.018234234327411628,0.2359704825850401,-0.951501907765645,-12,648,383,879,484,-3,0
0.012,-0.023435244219522033,-0.6804319985913851,0.7102441232445629,19,695,812,670,947,-3,-3
0.005,-0.007975298121361404,-0.938487185893073,0.3233589913017757,-8,815,194,504,248,-1,0
0.001,0.0003892002276775421,0.8073594145772205,0.5893352407823031,4,561,380,944,605,3,1
0.014,0.015908375892124026,-0.15009363810891854,-0.9701254034261133,12,597,536,624,393,-1,-2
0.013,0.020999070386240583,-0.962686657711904,0.19374823446945788,17,731,130,347,175,0,2
0.012,-0.005711958899537485,-0.936072456848894,-0.3036032400596178,1,655,759,397,257,0,-3
0.01,0.0009383314331523853,0.8857819008660724,0.4366681030024522,7,813,555,260,152,0,2
0.003,0.011488331354316511,0.1741755440483423,-0.9806457415627585,7,207,782,829,810,-3,1
0.002,0.022276379075780322,0.9944784946549041,0.08428217150886112,16,361,383,742,904,-1,-2
0.013,-0.015855959723061176,0.6387296724995509,-0.7472229664210789,-15,392,762,200,526,-3,-1
0.008,-0.023009527659277666,-0.48995529654209713,-0.8594203620629453,-12,502,741,851,396,0,-3
0.003,-0.001848900123393669,-0.4236088885542761,-0.9014999323777189,0,494,700,370,134,-1,-3
0.01,0.0024969934368228117,0.8662599669900862,-0.4733210379821056,-6,947,517,844,304,-3,3
0.005,0.020034037279805177,-0.5124585629499461,-0.8508129370249952,11,322,415,363,181,-2,-2
0.001,0.009869165113488535,0.9570514600200039,0.2873376251070044,17,683,597,466,746,2,-3
0.015,-0.054503943470252246,-0.8211289302556649,0.5310882893025786,5,288,483,289,854,-3,-3
0.009,0.006538829551179468,0.9592571938391962,-0.23960901455895345,9,113,787,356,615,2,0
0.011,-0.007480022951474547,0.26747724650023974,0.9492500597838875,-17,318,278,506,160,2,2
0.015,0.002898807104123491,-0.21570949810254134,0.956244815124335,-13,485,757,643,399,0,3
0.014,-0.053969785090735564,-0.883896101252464,0.42159828557975365,-7,526,291,381,644,-3,-3
0.014,0.02730079847548758,0.27184495517049556,-0.943002373530559,17,160,942,887,640,0,2
0.001,0.00766425644731095,0.9972622488071435,0.06055567807946841,11,776,735,974,461,-2,-3
0.015,0.008411882450951928,-0.39761461420707844,0.8957780870022654,6,338,891,214,615,-1,3
0.013,0.01846336464670107,-0.887231487278987,-0.42245615756830196,11,385,910,818,671,0,1
0.01,0.002247129420171772,0.22170928636061416,0.9621891024159834,4,499,152,682,995,2,-2
0.01,0.013761163786222684,-0.9842591815520754,-0.05117651092378343,16,360,106,841,421,-1,0
0.005,0.0007369539172779321,0.3700636568883704,0.9223407274481674,1,906,427,675,281,-2,3
0.003,0.014954931809437655,-0.47956355847156673,-0.8728854798319565,7,663,552,990,721,1,1
0.008,0.0007459451010781194,-0.08247533272740705,0.9859709263577938,4,616,159,440,465,3,-1
0.008,-0.004352198215914958,0.9900796401702903,0.014962044215722697,7,740,240,426,392,1,3
0.005,0.0016170637881946952,-0.2440970595013663,0.9627327548951335,1,355,852,757,364,3,-2
0.015,0.05916519615403196,0.721324214064189,-0.6618132829082626,13,249,324,171,873,1,-2
0.013,-0.027619468781185447,-0.972396679645327,0.13814850977970605,-12,547,793,494,766,-1,-2
0.007,0.00949764232957666,-0.9323595257572516,0.33380236225638366,11,764,856,393,199,3,0
0.003,-0.030885504447427607,0.9859436373097441,-0.1446398857096886,-15,383,190,909,742,-1,2
0.002,0.028191163837757948,0.81385088557309,-0.576154641413813,19,874,220,820,817,-3,-3
0.011,-0.01334524773651163,0.3913906728851657,-0.9045289494455933,-12,704,687,224,923,2,-2
0.008,-0.0016843359818697365,0.9318146706624152,-0.33414733383327155,2,759,266,247,108,2,2
0.014,0.030495395818300856,-0.9667356093537518,-0.16613256554888822,-8,238,984,618,986,2,2
0.005,0.002246831329546572,-0.6035808323708222,0.7882857338512456,6,159,967,187,153,3,-1
0.003,0.02891258675218251,0.2702301787139304,-0.9582652148722229,13,771,185,355,743,3,1
0.006,-0.004376316533070285,0.4575598735852268,0.8809036881408916,12,528,599,616,995,-1,3
0.007,-0.09829246425012693,-0.7540822615355549,-0.6347896597333865,-19,302,271,535,689,-2,-3
0.001,0.007333895641261022,0.726967724553365,0.6861475393682789,18,251,564,901,836,-2,1
0.005,-0.0037491104236304987,0.5751922705924495,0.8106077297084764,-20,565,815,147,257,2,1
0.007,-2.9859672202342918e-05,0.19833401629679576,0.9709466002490388,15,969,855,161,735,-3,1
0.003,-0.00490326077525536,0.8504046219689274,-0.5192144607353592,-2,299,408,209,847,-3,2
0.001,0.010849468468779471,0.9441639512749898,0.32727822256500205,19,764,474,262,687,-1,-2
0.014,0.009910816696769562,0.9674629700977653,-0.1688301150732179,2,973,498,644,962,0,-1
0.005,0.0017416984355609255,0.4067400884589351,0.9067952857906049,3,629,712,989,924,-2,1
0.001,-0.0038890938380008464,0.4027667347196258,0.9151918029182516,-17,110,305,178,693,1,1
0.004,-0.011057504037139655,0.019023864851004824,-0.9945161483229226,-5,180,601,144,386,1,1
0.007,-0.002359301827564401,0.3877168559826257,0.9124026301048777,-12,679,276,831,388,2,-3
0.014,-0.004139981128002929,-0.8539876589341319,0.4830269605212236,-17,442,829,807,129,0,2
0.004,-0.0009606886901568004,0.8482155189951134,0.5205742010930853,-4,934,892,250,454,-2,1
0.01,-0.005448239302845229,0.22358182326811066,-0.9612813972008232,-3,593,955,847,955,2,1
0.007,-0.012180063714585824,-0.5805860788781713,-0.802809993232263,-5,985,451,258,621,1,-3
0.008,-0.005827785439613658,0.9258575705411087,0.35057647095995603,9,887,835,748,742,3,0
0.001,-0.0019307708908166852,0.7984388238577393,0.601381902900191,-6,465,461,463,237,-2,-3
0.003,-0.0200112189455004,-0.6071984477583161,-0.7892932183913073,-16,893,373,235,733,-2,2
0.002,-0.02492362092205126,-0.14494297543830942,-0.9864794768111476,-20,786,858,136,154,-3,-3
0.008,-0.018610127309737285,0.9096132890841991,0.39143389953970614,-16,527,404,307,430,1,2
0.008,0.002790296377271005,-0.6596021607714562,0.7361918656728137,16,498,196,181,244,2,-3
0.004,0.0006719632162042214,-0.4479135093188299,0.8877875051831794,9,505,949,321,952,3,-1
0.004,0.028221661503962082,-0.14757464839216705,-0.9833577721099449,9,227,596,938,917,-1,3
0.005,-0.0008982165342360375,0.9927575562312241,-0.06970560051452042,2,120,209,706,463,2,0
0.003,-0.014614845621808472,0.9243135574313315,-0.37232748726871967,-7,247,405,928,959,3,-3
0.005,0.00037883831650061434,0.4202627254644459,0.9006209548607882,-2,979,365,119,104,-2,-1
0.013,0.016787967289115004,-0.9135844620440354,0.36104505244261786,18,667,691,192,943,0,1
0.01,-0.0031317084830722705,0.3403909226465093,0.9267584253074943,6,607,685,746,309,3,-3
0.005,0.026442114635033844,0.5096896901521208,-0.8523747188196872,8,279,242,534,599,-3,1
0.003,0.009905279486075247,-0.9439654090165027,-0.3169542638591197,18,552,911,996,455,-2,-1
0.009,-0.002142149604287002,-0.4922143274021641,0.8558595023762918,18,125,515,335,491,2,-3
0.006,0.021105322820911425,0.3488421644124046,-0.9285627561234908,17,516,995,967,503,2,-2
0.006,-0.0014710261201252583,-0.32805154091942323,0.9359021376330086,-9,646,345,269,506,2,-2
0.002,-0.010790739782830096,0.9946717444031147,0.08425464394448108,-8,462,282,934,312,1,0
0.009,0.03972158062233231,-0.9833457875518499,-0.07682186492224201,11,401,114,804,593,1,0
0.005,-0.0007088265930151846,-0.8395926650810113,0.5295914972968252,-19,504,551,498,738,2,1
